País,Variable_Independiente,Valor_Variable,Parkinson_Predicho
Moldova,Contaminacion_aire,0.50516033,
Moldova,Exp_plomo,302.1988,
Moldova,Muertes_agua,7.1595335,
Moldova,Pepticidas,424.6,
Moldova,Precipitaciones,124.56961,
Moldova,Muertes_agua_2,51.25891993762225,
Moldova,Exp_plomo_2,91324.11472144,
Moldova,Pepticidas_log,12.609259426888539,
Russia,Contaminacion_aire,0.47485495,
Russia,Exp_plomo,207.93044,
Russia,Muertes_agua,131.46239,
Russia,Pepticidas,23.66,
Russia,Precipitaciones,1531.9741,
Russia,Muertes_agua_2,17282.3599845121,
Russia,Exp_plomo_2,43235.0678785936,
Russia,Pepticidas_log,12.663246954857984,
Slovakia,Contaminacion_aire,0.8030089,
Slovakia,Exp_plomo,172.16663,
Slovakia,Muertes_agua,4.474499,
Slovakia,Pepticidas,195252.6,
Slovakia,Precipitaciones,22.142487,
Slovakia,Muertes_agua_2,20.021141301001,
Slovakia,Exp_plomo_2,29641.3484855569,
Slovakia,Pepticidas_log,12.690240733507988,
Slovenia,Contaminacion_aire,1.5175254,
Slovenia,Exp_plomo,70.1858,
Slovenia,Muertes_agua,4.9976473,
Slovenia,Pepticidas,18233.6,
Slovenia,Precipitaciones,168.16281,
Slovenia,Muertes_agua_2,24.976478535197288,
Slovenia,Exp_plomo_2,4926.04652164,
Slovenia,Pepticidas_log,12.71077798852818,
Andorra,Contaminacion_aire,1.8018036,
Andorra,Exp_plomo,52.287903,
Andorra,Muertes_agua,0.0037068508,
Andorra,Pepticidas,17.3,
Andorra,Precipitaciones,1673.2242,
Andorra,Muertes_agua_2,1.374074285346064e-05,
Andorra,Exp_plomo_2,2734.024800137409,
Andorra,Pepticidas_log,12.736261917902356,
Australia,Contaminacion_aire,0.30645606,
Australia,Exp_plomo,87.49931,
Australia,Muertes_agua,28.572466,
Australia,Pepticidas,4246.0,
Australia,Precipitaciones,852.40356,
Australia,Muertes_agua_2,816.3858133211559,
Australia,Exp_plomo_2,7656.129250476099,
Australia,Pepticidas_log,12.753385287770215,
Austria,Contaminacion_aire,1.6432282,
Austria,Exp_plomo,81.569016,
Austria,Muertes_agua,5.838471,
Austria,Pepticidas,148.68,
Austria,Precipitaciones,1584.2688,
Austria,Muertes_agua_2,34.087743617841,
Austria,Exp_plomo_2,6653.504371208257,
Austria,Pepticidas_log,12.767029305523295,
Belgium,Contaminacion_aire,1.2079145,
Belgium,Exp_plomo,104.50203,
Belgium,Muertes_agua,32.459236,
Belgium,Pepticidas,1118.67,
Belgium,Precipitaciones,696.3454,
Belgium,Muertes_agua_2,1053.6020017036958,
Belgium,Exp_plomo_2,10920.674274120902,
Belgium,Pepticidas_log,12.768648961061583,
Brunei,Contaminacion_aire,0.39755654,
Brunei,Exp_plomo,185.34706,
Brunei,Muertes_agua,0.34068984,
Brunei,Pepticidas,661.12,
Brunei,Precipitaciones,2535.129,
Brunei,Muertes_agua_2,0.11606956707922561,
Brunei,Exp_plomo_2,34353.5326506436,
Brunei,Pepticidas_log,12.763460066785456,
Cyprus,Contaminacion_aire,3.597214,
Cyprus,Exp_plomo,172.52719,
Cyprus,Muertes_agua,1.9227827,
Cyprus,Pepticidas,1105.73,
Cyprus,Precipitaciones,1631.8541,
Cyprus,Muertes_agua_2,3.6970933114192897,
Cyprus,Exp_plomo_2,29765.631289296096,
Cyprus,Pepticidas_log,12.754448934849785,
Denmark,Contaminacion_aire,1.6572753,
Denmark,Exp_plomo,56.231777,
Denmark,Muertes_agua,11.729352,
Denmark,Pepticidas,3.12,
Denmark,Precipitaciones,652.34125,
Denmark,Muertes_agua_2,137.577698339904,
Denmark,Exp_plomo_2,3162.0127445777293,
Denmark,Pepticidas_log,12.73172595382547,
Ireland,Contaminacion_aire,0.15056528,
Ireland,Exp_plomo,68.44124,
Ireland,Muertes_agua,1.3069277,
Ireland,Pepticidas,61164.07,
Ireland,Precipitaciones,634.18756,
Ireland,Muertes_agua_2,1.7080600130272898,
Ireland,Exp_plomo_2,4684.203332737599,
Ireland,Pepticidas_log,12.686192897494887,
Israel,Contaminacion_aire,1.5694212,
Israel,Exp_plomo,53.90672,
Israel,Muertes_agua,12.92909,
Israel,Pepticidas,1351.11,
Israel,Precipitaciones,802.5742,
Israel,Muertes_agua_2,167.1613682281,
Israel,Exp_plomo_2,2905.9344611584,
Israel,Pepticidas_log,12.593656974408537,
Italy,Contaminacion_aire,2.1350012,
Italy,Exp_plomo,110.78336,
Italy,Muertes_agua,97.77791,
Italy,Pepticidas,8716.14,
Italy,Precipitaciones,1772.6072,
Italy,Muertes_agua_2,9560.519683968101,
Italy,Exp_plomo_2,12272.9528528896,
Italy,Pepticidas_log,12.519314637279935,
Japan,Contaminacion_aire,0.5440833,
Japan,Exp_plomo,40.21622,
Japan,Muertes_agua,456.09146,
Japan,Pepticidas,9.7,
Japan,Precipitaciones,888.95795,
Japan,Muertes_agua_2,208019.4198849316,
Japan,Exp_plomo_2,1617.3443510884,
Japan,Pepticidas_log,12.463652173689491,
Lithuania,Contaminacion_aire,0.2148599,
Lithuania,Exp_plomo,147.30397,
Lithuania,Muertes_agua,3.5753098,
Lithuania,Pepticidas,171.8,
Lithuania,Precipitaciones,1305.063,
Lithuania,Muertes_agua_2,12.782840165976038,
Lithuania,Exp_plomo_2,21698.4595777609,
Lithuania,Pepticidas_log,12.408484696679341,
Luxembourg,Contaminacion_aire,1.3308094,
Luxembourg,Exp_plomo,59.935997,
Luxembourg,Muertes_agua,0.65750074,
Luxembourg,Pepticidas,38.04,
Luxembourg,Precipitaciones,1357.3196,
Luxembourg,Muertes_agua_2,0.43230722310054764,
Luxembourg,Exp_plomo_2,3592.323736384009,
Luxembourg,Pepticidas_log,12.370575301141606,
New Zealand,Contaminacion_aire,0.4195744,
New Zealand,Exp_plomo,106.02039,
New Zealand,Muertes_agua,12.859349,
New Zealand,Pepticidas,970.0,
New Zealand,Precipitaciones,859.16486,
New Zealand,Muertes_agua_2,165.362856703801,
New Zealand,Exp_plomo_2,11240.323095752101,
New Zealand,Pepticidas_log,9.801415512798407,
South Korea,Contaminacion_aire,2.20323,
South Korea,Exp_plomo,90.42523,
South Korea,Muertes_agua,139.13666,
South Korea,Pepticidas,207.0,
South Korea,Precipitaciones,1626.1631,
