País,Parkinson,Contaminacion_aire,Exp_plomo,Muertes_agua,Pepticidas,Precipitaciones
Samoa,50.669556,2.3095798,252.74837,3.613831,103.92,804.6142
Samoa,50.82447,2.1847956,250.95634,3.694819,118.12,1031.0251
Samoa,51.432,1.9796721,249.03772,3.773615,121.21,1398.3904
Samoa,52.305885,1.8747402,250.49077,3.8629477,122.75,1582.3069
Samoa,53.272305,2.1859262,250.91872,3.9470224,261.39,1209.1125
Samoa,54.139816,2.1268635,251.34521,4.0294294,261.39,1687.5603
Samoa,54.6976,2.163841,251.72102,4.099973,261.39,236.96817
Samoa,54.91739,1.8552489,251.62048,4.1758094,261.39,659.38055
Samoa,54.985027,1.2553567,249.2058,4.184815,261.39,199.28236
Samoa,55.197323,1.7932631,246.14723,4.1979327,261.39,1327.5585
Samoa,55.83869,1.7380704,242.7445,4.1980686,261.39,1454.4059
Samoa,60.032135,1.672744,239.48624,4.2317386,261.39,736.51373
Solomon Islands,24.97287,0.067559205,821.96094,74.35813,95466.75,105.80058
Solomon Islands,25.17444,0.068470255,830.6831,73.995544,91737.86,1139.9596
Solomon Islands,25.442265,0.07617909,827.5377,71.888695,90047.41,3172.7634
Solomon Islands,25.749584,0.07775168,825.2247,70.094986,81642.36,10.190325
Solomon Islands,26.094814,0.075541385,819.601,68.00605,78939.88,2075.0332
Solomon Islands,26.468483,0.06865717,805.2202,65.11663,77931.9,2979.0354
Solomon Islands,26.891607,0.08031461,798.33685,63.149044,78572.43,259.31696
Solomon Islands,27.427683,0.08453267,796.9606,61.49994,86110.07,921.9329
Solomon Islands,28.003792,0.06551994,786.7124,63.904144,84671.27,918.3845
Solomon Islands,28.564993,0.05151121,773.04095,63.728676,84886.4,613.0946
Solomon Islands,29.039164,0.019376809,771.3935,63.41,85470.65,1163.2594
Solomon Islands,29.44054,0.012788777,761.30566,62.374832,80779.02,2499.6978
Solomon Islands,29.879004,0.019123038,760.09576,61.773952,79929.46,794.3022
Solomon Islands,30.301405,0.027346,757.44495,59.50908,83804.95,1164.2639
Solomon Islands,30.676943,0.044568807,752.11127,56.94532,72878.58,1310.6833
Solomon Islands,30.953772,0.04199789,753.0106,56.655804,58188.22,2077.6895
Solomon Islands,31.021044,0.080226906,753.30524,56.59513,74662.67,837.29236
Solomon Islands,30.940758,0.097891085,738.77704,57.194626,86292.48,1217.4613
Solomon Islands,30.805151,0.093333066,721.5837,55.77013,88034.22,870.26526
Solomon Islands,30.731688,0.105748,730.1132,55.78623,88751.16,1115.0347
Solomon Islands,30.808943,0.059628572,717.6605,55.393906,90409.67,582.88776
Solomon Islands,31.181866,0.04908271,734.28,55.17308,90840.28,474.61783
Solomon Islands,31.840765,0.035782315,732.54065,53.803295,90099.63,2063.7888
Solomon Islands,32.62188,0.035977837,729.02484,53.905327,91114.63,1723.4354
Solomon Islands,33.369034,0.04773955,728.88837,53.459694,91549.61,1408.1157
Solomon Islands,33.900597,0.04659889,720.0384,54.600697,91746.14,2166.2917
Solomon Islands,34.260284,0.047320925,704.0185,53.747627,90069.86,1068.794
Solomon Islands,34.595726,0.003345666,702.51294,52.93896,91949.04,1334.8389
Solomon Islands,34.988583,0.031300873,697.9189,51.91434,92264.84,1949.4016
Solomon Islands,35.52815,0.028444577,695.04767,51.098446,92024.27,1940.5983
Solomon Islands,37.311638,0.027162395,689.39606,48.67007,159973.73,627.1158
Thailand,40.657284,1.138568,206.27174,9285.471,26.19,1763.293
Thailand,41.85017,1.2616533,209.59595,8594.694,26.19,4124.7036
Thailand,43.083458,1.2919048,210.89232,7877.496,17.48,233.08835
Thailand,44.36377,1.4218976,213.14598,7229.4062,8.79,533.0056
Thailand,45.70572,1.3666697,214.08829,6648.4775,0.07,1714.3811
Thailand,47.152317,1.3942621,214.2071,6079.271,0.09,924.0972
Thailand,48.871143,1.3998166,215.25226,5580.22,0.05,707.38086
Thailand,50.932533,1.4743742,201.56808,5148.999,28.04,2236.647
Thailand,53.183025,1.3769112,204.72581,4984.069,52.82,218.78363
Thailand,55.47295,1.2049172,209.32239,4882.889,79.77,1547.5679
Thailand,57.69579,0.7941362,208.08124,4809.213,74.04,787.8814
Thailand,59.845463,0.9536072,202.21863,4502.0757,64.39,1660.5157
Thailand,61.988407,1.0691166,206.69882,4373.3994,61.21,220.42804
Thailand,64.16734,1.7905847,205.56418,4229.243,71.34,1562.3436
Thailand,66.473595,1.8405172,205.27605,4146.6055,85.69,720.33234
Thailand,69.03235,1.7942319,200.93068,4029.758,91.42,1070.7456
Thailand,72.28198,1.6658164,192.30995,3996.9211,88.54,1487.9946
Thailand,76.31822,1.7129406,184.37672,3957.3774,88.54,1398.5331
Thailand,79.939445,1.6893471,176.2374,3906.3057,88.54,1371.5361
Thailand,82.64072,1.3259177,167.40906,3853.99,88.54,1274.2937
Thailand,86.703995,1.693807,162.69673,3840.464,88.54,198.37068
Thailand,92.71962,1.9790642,154.79428,3778.6826,88.54,705.43024
Thailand,98.233795,2.08736,148.14903,3735.8667,88.54,128.47523
Thailand,103.03495,1.8647473,142.617,3764.6914,88.54,916.1892
Thailand,107.92452,1.6565044,138.60352,3828.3145,88.54,1474.6823
Thailand,112.83747,1.7570366,135.41083,3901.287,88.54,574.4011
Thailand,118.02187,1.4683924,134.21083,4020.5327,1.83,37.509743
Thailand,123.45451,1.3915054,130.3585,4111.522,1.83,1176.3936
Thailand,129.08685,1.6949488,129.92848,4268.1323,1.83,796.811
Thailand,134.81398,1.8159297,131.40335,4415.6753,1.83,1612.6328
Thailand,143.57547,1.935331,129.90071,4559.521,1.83,223.76555
Vanuatu,27.85941,0.5330245,649.54456,31.070368,655.74,2158.9998
Vanuatu,28.07101,0.5671866,656.2756,30.855335,838.59,743.11774
Vanuatu,28.281826,0.61135393,661.1286,30.390236,931.81,1309.454
Vanuatu,28.49279,0.66924167,663.62524,30.13308,899.48,988.0402
Vanuatu,28.710396,0.62613386,672.015,29.842583,781.34,1057.191
Vanuatu,28.933285,0.60001916,664.8679,29.292664,926.47,900.7059
Vanuatu,29.18274,0.5291711,667.3588,29.102,1026.48,475.92148
Vanuatu,29.456144,0.5060203,665.69086,28.572252,1209.62,1656.5806
Vanuatu,29.748522,0.4294824,662.91113,28.104874,1248.87,1620.3524
Vanuatu,30.038359,0.34433746,663.38617,29.533684,1268.63,1273.9484
Vanuatu,30.318363,0.20107245,649.50806,29.112852,977.34,2708.2048
Vanuatu,30.66406,0.178523,650.51556,28.817398,724.34,825.41223
Vanuatu,31.077236,0.20160061,633.328,27.988098,597.11,1346.5366
Vanuatu,31.534735,0.25345334,618.00775,26.957905,694.92,1417.3527
Vanuatu,31.974537,0.35798502,616.764,25.78158,819.34,1856.9762
Vanuatu,32.337517,0.3818064,628.52783,25.823467,953.54,625.41846
Vanuatu,32.571453,0.5061315,627.41766,25.367407,1506.28,1337.8298
Vanuatu,32.66506,0.47656375,629.0089,26.066017,1483.51,1241.8716
Vanuatu,32.7636,0.49773586,625.3523,26.005398,1357.2,3506.876
Vanuatu,32.942074,0.4772775,614.9215,25.642235,718.78,171.44714
Vanuatu,33.287807,0.3941709,606.0518,25.390203,576.13,92.53169
Vanuatu,33.910122,0.36863333,604.034,25.296906,837.9,1103.3082
Vanuatu,34.70387,0.45892686,597.54224,24.7094,1147.21,1122.0598
Vanuatu,35.641674,0.5139977,592.0175,24.686632,1504.08,164.17506
Vanuatu,36.584328,0.5260175,586.3813,25.08874,1504.08,990.3465
Vanuatu,37.370647,0.48340768,581.67004,25.395496,1504.08,937.0941
Vanuatu,38.041412,0.51744545,575.656,26.603863,2575.0,1965.7185
Vanuatu,38.673775,0.1702531,569.55835,26.785069,2857.0,48.27209
Vanuatu,39.432224,0.5321255,564.34094,27.00582,1080.0,277.17856
Vanuatu,40.39228,0.52664506,558.3565,26.809742,1080.0,494.3296
Vanuatu,43.400234,0.5384851,552.4603,26.821922,1080.0,539.01575
Azerbaijan,45.466812,2.857349,439.048,865.8365,148.68,897.8729
Azerbaijan,45.742554,2.8141117,453.9048,822.2543,148.68,1094.6343
