Año,País,Parkinson,Tasa_contaminacion_Aire,Exp_Plomo,Pesticidas,Nitratos,Usuarios_Internet
1992,Austria,178.93742,1.597447,180.01419,3619.0,27.586168,9974952.0
1993,Austria,180.50444,1.7249889,178.93974,3402.0,26.506536,10131159.0
1994,Austria,182.60666,1.554963,176.52654,3565.0,26.761826,10373208.0
1995,Austria,186.27293,1.517842,175.20168,3689.6,29.362993,10562242.0
1996,Austria,189.74965,1.4145999,176.74431,3340.3,30.037287,1622.7228
1997,Austria,194.31151,1.4289709,174.51228,3418.6,29.80319,3250.6252
1998,Austria,198.82977,1.4308146,172.35756,3563.2,28.465279,10847.838
1999,Austria,203.4792,1.5888081,167.8122,3132.2,25.758762,16266.539
2000,Austria,208.80772,1.6085932,159.19264,3079.2,25.135878,27058.639
2001,Austria,213.09224,1.7452973,151.26718,3384.9,24.695696,10736431.0
2007,Austria,244.79912,1.7372364,120.37805,3531.8,24.561562,92.68516
2008,Austria,252.7496,1.5633796,118.00957,3692.4,23.879822,1856.7291
2009,Austria,261.35617,1.4619603,118.244286,3441.5,24.591467,2802.1125
2010,Austria,269.30087,1.4515471,115.45486,3563.3,26.027163,4709.8022
2011,Austria,274.7197,1.4560229,112.19575,3108.6,26.06615,9501.415
2012,Austria,279.8999,1.5261091,110.55083,3380.7,18.846428,14361.452
2013,Austria,283.71463,1.5611831,108.67531,3787.1,18.761406,14552.706
2014,Austria,288.15372,1.5922205,105.53147,3662.0,18.336588,26626.111
2015,Austria,292.51767,1.5858462,103.77641,4656.0,17.728554,47556.82
2016,Austria,297.55353,1.5872077,99.781555,5295.0,17.331692,69093.6
2017,Austria,307.0033,1.5553405,95.172745,4963.0,17.950182,72844.78
2018,Austria,316.08136,1.7311263,93.25857,5595.0,17.225132,80050.09
2019,Austria,323.37665,1.730264,89.31505,5862.0,16.981176,85032.1
2020,Austria,326.32043,1.7291712,87.678734,148.68,16.568213,90312.195
2021,Austria,329.19034,1.6432282,81.569016,148.68,17.165812,53954.082
1995,Belgium,185.96526,1.9839565,270.96423,6297.22,33.10091,102.35235
2001,Belgium,215.4911,1.3149476,234.5465,6248.62,34.085316,2043.2076
2002,Belgium,220.71422,2.090895,232.49396,6357.33,35.5995,5105.9033
2003,Belgium,225.70569,2.1599913,228.16373,5944.14,34.370384,7151.0254
2004,Belgium,230.59645,2.1062777,213.78792,5835.12,29.862583,9192.232
2005,Belgium,235.44536,1.8073432,202.2326,5709.67,29.972357,19393.201
2006,Belgium,240.76006,1.5382729,191.23064,9074.21,27.714483,25487.672
2007,Belgium,247.1003,1.4712602,184.4193,9074.21,5.765525,48855.44
2008,Belgium,253.76097,1.23979,178.07079,9074.21,4.9398637,54042.01
