Año,País,Nitratos
1997,Lithuania,21.141935
1998,Lithuania,19.341396
1999,Lithuania,21.436825
2000,Lithuania,22.872793
2001,Lithuania,20.590513
2002,Lithuania,22.401047
2003,Lithuania,23.59579
2004,Lithuania,21.638643
2005,Lithuania,17.90266
2006,Lithuania,18.720638
2007,Lithuania,19.14027
2008,Lithuania,18.021696
2009,Lithuania,18.120375
2010,Lithuania,17.045946
2011,Lithuania,19.6061
2012,Lithuania,18.587452
2013,Lithuania,18.252436
2014,Lithuania,18.253622
2015,Lithuania,18.28153
2016,Lithuania,18.421354
2017,Lithuania,16.129787
2018,Lithuania,15.727553
2019,Lithuania,18.203299
2020,Lithuania,9.889121
2021,Lithuania,9.889121
1992,Luxembourg,9.378688
1993,Luxembourg,12.572989
1994,Luxembourg,12.572989
1995,Luxembourg,4.002008
1996,Luxembourg,6.0726266
1997,Luxembourg,8.371833
1998,Luxembourg,26.953722
1999,Luxembourg,26.716986
2000,Luxembourg,34.755436
2001,Luxembourg,38.35006
2002,Luxembourg,38.60504
2003,Luxembourg,33.797382
2004,Luxembourg,27.651525
2005,Luxembourg,35.50616
2006,Luxembourg,39.222183
2007,Luxembourg,38.09004
2008,Luxembourg,36.69781
2009,Luxembourg,36.92617
2010,Luxembourg,4.758023
2011,Luxembourg,4.52125
2012,Luxembourg,4.5409794
2013,Luxembourg,2.5770772
2014,Luxembourg,2.4610891
2015,Luxembourg,5.3978343
2016,Luxembourg,6.0827885
2017,Luxembourg,5.801712
2018,Luxembourg,3.9040244
2019,Luxembourg,3.9522328
2020,Luxembourg,4.200411
2021,Luxembourg,4.537723
1992,Malta,4.7119684
1993,Malta,4.49675
1994,Malta,4.4690957
1995,Malta,4.307339
1996,Malta,38.35
1997,Malta,16.511791
1998,Malta,16.51365
1999,Malta,16.504038
2000,Malta,16.497198
2001,Malta,16.762972
2002,Malta,16.516434
2003,Malta,17.104736
2004,Malta,16.599123
2005,Malta,16.027224
2006,Malta,15.970017
2007,Malta,15.683507
2008,Malta,15.209257
2009,Malta,15.312705
2010,Malta,16.262028
2011,Malta,15.291667
2012,Malta,14.831633
2013,Malta,14.72347
2014,Malta,14.066154
2015,Malta,14.179838
2016,Malta,14.872157
2017,Malta,14.980222
2018,Malta,15.682108
2019,Malta,13.379995
2020,Malta,13.379995
2021,Malta,11.507622
1992,Montenegro,10.467315
1993,Montenegro,10.4552965
1994,Montenegro,14.810449
1995,Montenegro,15.260464
