Parkinson,Contaminacion_aire,Exp_plomo,Muertes_agua,Pesticidas,Precipitaciones
107.92452,1.6565044,138.60352,3828.3145,21800.0,1487.9946
112.83747,1.7570366,135.41083,3901.287,26167.67,1481.462
118.02187,1.4683924,134.21083,4020.5327,30535.33,1593.6884
123.45451,1.3915054,130.3585,4111.522,34037.48,1892.4819
129.08685,1.6949488,129.92848,4268.1323,34776.62,1746.633
134.81398,1.8159297,131.40335,4415.6753,28073.81,1425.1019
143.57547,1.935331,129.90071,4559.521,19006.56,1499.4706
147.70137,2.0694382,128.7159,4700.6655,8745.25,1728.956
27.85941,0.5330245,649.54456,31.070368,172.49,1921.1813
28.07101,0.5671866,656.2756,30.855335,138.13,2064.653
28.281826,0.61135393,661.1286,30.390236,100.87,1559.3413
28.49279,0.66924167,663.62524,30.13308,77.63,1410.665
28.710396,0.62613386,672.015,29.842583,84.03,1863.3008
28.933285,0.60001916,664.8679,29.292664,88.6,1616.0004
29.18274,0.5291711,667.3588,29.102,78.25,2291.0522
29.456144,0.5060203,665.69086,28.572252,71.71,1657.3317
29.748522,0.4294824,662.91113,28.104874,68.98,1991.3599
30.038359,0.34433746,663.38617,29.533684,66.25,3137.1953
30.318363,0.20107245,649.50806,29.112852,64.7,3112.2607
30.66406,0.178523,650.51556,28.817398,64.32,2141.572
31.077236,0.20160061,633.328,27.988098,65.12,2509.1296
31.534735,0.25345334,618.00775,26.957905,65.92,1831.8425
31.974537,0.35798502,616.764,25.78158,66.73,1857.8197
32.337517,0.3818064,628.52783,25.823467,67.53,1997.7283
32.571453,0.5061315,627.41766,25.367407,73.19,2205.3643
32.66506,0.47656375,629.0089,26.066017,79.25,2460.9
32.7636,0.49773586,625.3523,26.005398,85.7,2626.0444
32.942074,0.4772775,614.9215,25.642235,70.92,2435.672
33.287807,0.3941709,606.0518,25.390203,47.61,2228.4646
33.910122,0.36863333,604.034,25.296906,23.63,2900.8457
34.70387,0.45892686,597.54224,24.7094,15.78,2996.1826
35.641674,0.5139977,592.0175,24.686632,15.78,2622.4062
36.584328,0.5260175,586.3813,25.08874,15.78,2187.1414
37.370647,0.48340768,581.67004,25.395496,15.78,2152.4473
38.041412,0.51744545,575.656,26.603863,15.78,1563.7355
38.673775,0.1702531,569.55835,26.785069,15.78,2295.0708
39.432224,0.5321255,564.34094,27.00582,15.78,2430.698
40.39228,0.52664506,558.3565,26.809742,15.78,2039.2413
43.400234,0.5384851,552.4603,26.821922,15.78,2778.1426
41.544037,0.5430955,545.57825,26.11893,15.78,2590.586
39.408157,1.3853142,493.38168,5296.6597,20912.0,2175.9834
40.069553,1.47651,491.94174,4903.0986,20912.0,1869.3026
40.795303,1.5831146,490.7519,4575.248,20912.0,1935.1346
41.583046,1.6515801,488.82965,4099.634,20912.0,1951.9219
42.42779,1.7234067,486.99158,3748.7927,20912.0,2088.6782
43.282707,1.7965682,485.0115,3388.9575,24896.0,2019.3542
44.314503,1.7518215,481.34927,3044.8057,32745.0,2263.3706
45.510372,1.9569596,477.84497,2772.611,33019.0,1994.8547
46.801796,1.8755097,473.31097,2565.2751,20841.0,1969.7769
48.113686,1.8043176,469.14056,2393.0537,16695.0,2139.4019
49.30951,1.4628224,464.85022,2230.4492,16502.0,2090.4995
50.611393,1.6049036,465.66687,2072.3486,19154.0,1981.9089
52.02154,1.9442145,467.95123,1936.702,23511.4,1935.945
53.488724,2.7839477,470.48215,1814.6833,27868.81,1831.7561
54.95742,2.9182541,473.0816,1716.5295,32226.21,1659.2001
56.286106,2.903949,475.17163,1624.819,36583.62,1979.6188
57.867886,2.5802786,474.5669,1523.369,41531.75,1918.3613
59.632793,2.8740969,473.25208,1433.2393,46479.88,2163.56
61.497196,3.0239396,471.75375,1350.0447,51428.01,2233.2998
63.39048,2.9314392,470.4166,1277.6683,55492.36,2027.3875
65.07541,3.3283393,467.546,1211.6187,57104.8,2169.1658
67.19407,3.707517,461.76898,1176.6725,68308.75,2080.6099
69.66049,3.6760752,456.02966,1136.4218,76833.6,2001.8674
72.25605,3.0867186,451.7585,1095.8956,83390.36,2231.4158
74.75182,2.666203,446.0574,1062.1447,101920.6,1928.853
76.634926,2.6916745,441.64297,1033.2076,102408.15,1812.2073
78.79371,2.5818686,434.82498,1002.165,103060.66,2053.8416
81.035805,2.3127556,427.28174,977.2919,82408.03,2375.5344
83.39333,2.4962015,420.54446,950.81537,139416.02,2113.5044
85.93758,2.4246166,413.9719,925.9163,134741.78,1821.7611
91.82172,2.3566892,407.9547,908.75714,89334.84,2144.9512
92.22837,2.2849438,399.28336,883.54266,148668.67,2075.221
45.794434,2.8195455,483.5763,783.82214,148.68,669.1452
45.821487,2.829548,503.5214,746.8846,148.68,665.6708
45.87699,2.9095578,518.2418,704.38245,148.68,713.60077
45.85022,2.9180965,520.33997,657.5798,148.68,551.8773
46.12251,2.6113474,512.4105,610.69495,148.68,520.6678
46.33615,2.3546648,500.1788,562.4319,148.68,670.9536
46.86485,2.1770148,495.55035,518.3294,148.68,543.8616
47.57414,2.1126127,495.996,474.34433,148.68,565.242
48.210228,1.9443938,498.55127,423.984,148.68,601.65314
49.182896,1.6246783,493.00153,365.47888,148.68,579.71173
49.84395,1.5620099,504.953,322.5683,148.68,671.1995
50.642113,1.5198538,523.12335,293.71494,148.68,685.8859
51.426876,1.4852868,529.6934,271.9442,148.68,644.62537
52.090885,1.3516698,539.81647,249.54237,148.68,581.5598
53.346626,1.3700559,532.0861,227.2463,148.68,563.2766
54.645218,1.4300032,519.02026,207.47273,148.68,617.56366
56.173145,1.5707932,514.93,194.51266,262.99,606.53754
57.452686,1.5042161,506.48505,184.13002,316.18,670.2465
58.13232,1.3664106,498.75146,176.48253,333.85,636.5256
58.817657,1.4586172,487.8664,168.91269,461.84,726.7818
59.259674,1.5644264,481.96707,161.98195,516.35,625.0131
59.720997,1.6893152,470.9999,155.1645,489.8,621.8566
60.13899,1.6887631,463.48035,147.00156,531.84,505.58636
60.63685,1.6988418,452.24973,140.03787,529.69,622.1535
61.834843,1.8293235,446.3644,134.45366,542.82,733.25146
